status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,97,0,Gỏi Cuốn,You're watching,Cách làm Gỏi Cuốn ngon cùng với Chef Thái | Khám Phá Bếp Việt,Khám phá bếp Việt - Cách làm Gỏi Cuốn ngon cùng với Chef Thái - Trưởng bộ môn Bếp Việt tại trường dạy nghề ẩm thực Netspace.,,hqdefault,youtube ,E3NjC1ZujHY,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,98,0,Mì Xào Hải Sản,You're watching,Cách làm Mì Xào Hải Sản ngon cho ngày cuối tuần và ngày lễ - Chef Thái | Khám Phá Bếp Việt,Khám phá bếp Việt - Cách làm Mì Xào Hải Sản ngon cho ngày cuối tuần và ngày lễ cùng với Chef Thái - Trưởng bộ môn Bếp Việt tại trường dạy nghề ẩm thực Netspace.,,hqdefault,youtube ,yxWb2pquICk,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,99,0,Tôm Nướng Muối Ớt,You're watching,Cách làm Tôm Nướng Muối Ớt ngon và hấp dẫn với Chef Thái | Khám Phá Bếp Việt,Khám phá bếp Việt - Cách làm Tôm Nướng Muối Ớt ngon và hấp dẫn với Chef Thái - Trưởng bộ môn Bếp Việt tại trường dạy nghề ẩm thực Netspace.,,hqdefault,youtube ,yaiHlWtjGiM,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,100,0,Canh Chua Cá Hú,You're watching,Cách nấu Canh Chua Cá Hú ngon và hấp dẫn - Chef Thái | Khám Phá Bếp Việt,Khám phá bếp Việt - Cách nấu Canh Chua Cá Hú ngon và hấp dẫn với Chef Thái - Trưởng bộ môn Bếp Việt tại trường dạy nghề ẩm thực Netspace.,,hqdefault,youtube ,G1FE5zy-QBY,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,101,0,Bò Nhúng Dấm,You're watching,Cách nấu Bò Nhúng Dấm - Món ăn ngon - Chef Thái | Khám Phá Bếp Việt,Khám phá bếp Việt - Cách làm Bà Nhúng Dấm - Món ăn ngon - Chef Thái - Trưởng bộ môn Bếp Việt tại trường dạy nghề ẩm thực Netspace.,,hqdefault,youtube ,NNnsqCd_j_0,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,102,0,Tôm Chiên Giòn,You're watching,Cách làm Tôm Chiên Giòn - Tôm Chiên Xù cực ngon - Chef Thái | Món ăn ngon | Khám Phá Bếp Việt,Khám phá bếp Việt - Cách làm Tôm Chiên Giòn - Tôm Chiên Xù cực ngon với Chef Thái - Trưởng bộ môn Bếp Việt tại trường dạy nghề ẩm thực Netspace.,,hqdefault,youtube ,a_zUpDWq-OI,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,103,0,Cá Diêu Hồng Chưng Tương,You're watching,Cách nấu Cá Diêu Hồng Chưng Tương thật ngon với Chef Thái | Khám Phá Bếp Việt | Món ngon,Khám phá bếp Việt - Cách nấu Cá Diêu Hồng Chưng Tương thật ngon với Chef Thái - Trưởng bộ môn Bếp Việt tại trường dạy nghề ẩm thực Netspace.,,hqdefault,youtube ,b5Qw78B4PV0,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,104,0,Hướng dẫn làm bánh mì,You're watching,Chef Jack Lee - Đầu bếp nổi tiếng thế giới hướng dẫn làm bánh mì | Khám Phá Bếp Việt,"Khám phá món việt cùng siêu đầu bếp thế giới Jack Lee tại gian bếp của ""Khám phá bếp Việt"".",,hqdefault,youtube ,hTIQLdmRDvI,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,105,0,Canh kim chi củ cải chay ấm nóng cho ngày Đông,You're watching,Những ngày Đông lạnh mà được thưởng thức tô canh kim chi củ cải chay ấm nóng thì còn gì bằng.,"Những ngày Đông lạnh mà được thưởng thức tô canh kim chi củ cải chay ấm nóng thì còn gì bằng. Với sự kết hợp của các loại rau củ mùa Đông cùng vị ngọt thanh tự nhiên từ hạt nêm nấm hương của Knorr, bạn sẽ có ngay món canh ngon đãi cả nhà.",https://anh.eva.vn/upload/4-2014/images/2014-11-22/1416627303-canh_kim_chi_cu_cai_9.jpg,https://anh.eva.vn/upload/4-2014/images/2014-11-22/1416627303-canh_kim_chi_cu_cai_9.jpg,video/mp4,http://player.vimeo.com/external/243819900.hd.mp4?s=005019c0b1f8871fdd1dd6bba936c1a2e19adf19&profile_id=175&oauth2_token_id=925006679,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,106,0,Mắm chưng hột vịt muối,You're watching,Mắm chưng hột vịt muối ngon lành đưa cơm,Mắm chưng hột vịt muối ngon lành đưa cơm,http://niemdamme.vn/Uploads/files/Mam-chung-egret-grass-food-and-prop-stylist-web.jpg,http://niemdamme.vn/Uploads/files/Mam-chung-egret-grass-food-and-prop-stylist-web.jpg,video/mp4,http://player.vimeo.com/external/238505101.hd.mp4?s=881697e80d74da5be7806a61c8db569f7cc20752&profile_id=175&oauth2_token_id=925006679,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
