status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,1,0,Cách chăm sóc trẻ sơ sinh tốt nhất 0-1 tháng tuổi,You're watching,Hướng dẫn cách chăm sóc trẻ sơ sinh tốt nhất từ 0-1 tháng tuổi,Hướng dẫn cách chăm sóc trẻ sơ sinh tốt nhất từ 0-1 tháng tuổi tại nhà của bên Tambehanoi.com sưu tầm .,,hqdefault,youtube,BdlhTpcU4r0,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,2,0,Cách vệ sinh mũi cho trẻ sơ sinh tại nhà đúng cách,You're watching,Hướng dẫn chi tiết cách vệ sinh mũi cho trẻ sơ sinh tại nhà đúng cách nhanh và sạch sẽ cho bé ..,Hướng dẫn chi tiết cách vệ sinh mũi cho trẻ sơ sinh tại nhà đúng cách nhanh và sạch sẽ cho bé ..,,hqdefault,youtube,idCV-3p7RQM,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,3,0,Hướng dẫn rửa mũi an toàn cho trẻ,You're watching,Khi trẻ mắc viêm mũi thì rửa mũi bằng nước muối sinh lý là biện pháp hỗ trợ điều trị rất tốt. ,Khi trẻ mắc viêm mũi thì rửa mũi bằng nước muối sinh lý là biện pháp hỗ trợ điều trị rất tốt. Nhưng nên rửa mũi cho trẻ thế nào cho an toàn? Hãy nghe bác sĩ tư vấn.,,hqdefault,youtube,JjOGt0SYUhg,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,4,0,Những sai lầm khi pha sữa công thức cho bé,You're watching,"Pha sữa cho con tưởng như là việc vô cùng đơn giản, quen thuộc với các bậc phụ huynh","Pha sữa cho con tưởng như là việc vô cùng đơn giản, quen thuộc với các bậc phụ huynh. Nhưng có những cách pha sữa ta vẫn quen làm lại là những sai lầm mà ta không biết.",,hqdefault,youtube,sDTP4Wyxw7s,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,5,0,Hướng dẫn cách rửa mũi vệ sinh mũi cho bé tại nhà,You're watching,Rửa mũi giúp bé dễ chịu hơn tránh dịch nhầy ở mũi. ,Rửa mũi giúp bé dễ chịu hơn tránh dịch nhầy ở mũi. Việc rửa mũi hay vễ sinh mũi giúp ngăn ngừa vi khuẩn xâm nhập xuống họng và tai và các bệnh lây qua đường hô hấp. Sau đây là clip hướng dẫn rữa mũi vệ sinh cho bé mà các mẹ cần quan tâm,,hqdefault,youtube,TJRxJqviqf0,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,6,0,Hướng dẫn cách dỗ trẻ sơ sinh ngủ ngon tại nhà,You're watching,"Trẻ sơ sinh đến 1 tháng tuổi hầu như ngủ suốt ngày đêm, chỉ thức dậy khi bú sữa mẹ. ","Trẻ sơ sinh đến 1 tháng tuổi hầu như ngủ suốt ngày đêm, chỉ thức dậy khi bú sữa mẹ. Sau đây là cách dỗ bé ngủ ngon không quấy khóc hiệu quả các mẹ áp dụng ngay nhé.",,hqdefault,youtube,YiXL6Kvtcwo,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,7,0,Hướng dẫn cặp nhiệt độ (nhiệt kế) để đo trẻ sơ sinh khi bị sốt,You're watching,Cặp nhiệt độ là thiết bị không thể thiếu để theo dõi nhiệt độ trên cơ thể của bé khi các bà mẹ cần kiểm tra khi bé bị sốt,Cặp nhiệt độ là thiết bị không thể thiếu để theo dõi nhiệt độ trên cơ thể của bé khi các bà mẹ cần kiểm tra khi bé bị sốt. Các mẹ có thắc mắc gì hãy để lại lời nhắn mình sẽ tư vấn,,hqdefault,youtube,TlMI5GIQH5Q,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,8,0,5 điều tránh không nên làm ở trẻ sơ sinh,You're watching,Chăm sóc trẻ sơ sinh không phải là điều dễ dàng đối với bà mẹ trẻ. ,"Chăm sóc trẻ sơ sinh không phải là điều dễ dàng đối với bà mẹ trẻ. Nhưng bạn có biết rằng cần nên tránh 1 số điều khi làm với trẻ sơ sinh như: ba mẹ không nên ngủ sát cùng bé, quần áo mới phải giặt bằng nước chuyên dùng, không quấn tả quá kín, không cắt lông mi cho bé... Các bạn cùng theo dõi 5 điều không nên làm ở trẻ sơ sinh nhé, nếu có thắc mắc hãy để lại lời nhắn",,hqdefault,youtube,39rjfjWIzOk,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,9,0,Hướng dẫn bế trẻ sơ sinh an toàn đúng cách,You're watching,"Bồng, bế trẻ sơ sinh rất dễ đối với những bậc phụ huynh giàu kinh nghiệm nhưng đối với các ông bố bà mẹ thì rất khó. ","Bồng, bế trẻ sơ sinh rất dễ đối với những bậc phụ huynh giàu kinh nghiệm nhưng đối với các ông bố bà mẹ thì rất khó. Trẻ sơ sinh xương yếu nếu bế không đúng cách sẽ gây hại cho hệ xương của bé thậm chí gây dị tật ở trẻ sơ sinh. Các bạn cùng kham khảo cách bế trẻ sơ sinh an toàn đúng cách của điều dưỡng chuyên khoa sản nhé.",,hqdefault,youtube,4nBDbby2My4,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,10,0,Hướng dẫn vệ sinh mắt và mũi cho trẻ sơ sinh tại nhà,You're watching,Việc vệ sinh mắt và mũi cho em bé nhất là trẻ sơ sinh vài ngày tuổi rất quan trọng đối với mẹ.,"Việc vệ sinh mắt và mũi cho em bé nhất là trẻ sơ sinh vài ngày tuổi rất quan trọng đối với mẹ. Các me cần chú ý vệ sinh để bé yêu của mình luôn khỏe mạnh. Dưới đây là clip hướng dẫn vệ sinh mắt và mũi cho trẻ sơ sinh tại nhà, các mẹ có thắc mắc gì hãy để lại lời nhắn nhé",,hqdefault,youtube,jNsN4pK38LM,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
