status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,73,0,Cách nấu phở ngon,You're watching,Cách nấu phở ngon | Học nấu ăn | Khám Phá Bếp Việt | Vietnamese Beef Noodle soup (Pho),"Khám phá bếp Việt - Cách nấu Phở ngon, nhanh nhất thực hiện bởi 'phù thủy' nấu phở ThS Nguyễn Quốc Y - Hiệu trưởng trường dạy nghề ẩm thực Netspace.",,hqdefault,youtube ,30BRENyf-JA,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,74,0,Bún bò Huế,You're watching,Cách nấu Bún bò Huế rất ngon | Khám Phá Bếp Việt,Khám phá bếp Việt - Cách nấu Bún bò Huế rất ngon thực hiện bởi ThS Nguyễn Quốc Y - Hiệu trưởng trường dạy nghề ẩm thực Netspace.,,hqdefault,youtube ,NsbGadEFjFg,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,75,0,Bánh canh cua,You're watching,Cách nấu bánh canh cua ngon - Thầy Nguyễn Quốc Y | Khám Phá Bếp Việt,Khám phá bếp Việt - Cách nấu bánh canh cua ngon được thực hiện bởi ThS Nguyễn Quốc Y - Hiệu trưởng trường dạy nghề ẩm thực Netspace.,,hqdefault,youtube ,LnNacc9RydE,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,76,0,Hủ Tiếu Bò Viên,You're watching,Cách nấu Hủ Tiếu Bò Viên cực ngon với Thầy Nguyễn Quốc Y | Khám Phá Bếp Việt,Khám phá bếp Việt - Cách nấu Hủ Tiếu Bò Viên cực ngon với Thầy Nguyễn Quốc Y- Hiệu trưởng trường Dạy nghề Ẩm thực Netspace.,,hqdefault,youtube ,tr7FM74F60A,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,77,0,Cánh Gà Chiên Nước Mắm,You're watching,Cách làm Cánh Gà Chiên Nước Mắm cực ngon với Thầy Y | Khám Phá Bếp Việt,Khám phá bếp Việt - Cách làm Cánh Gà Chiên Nước Mắm cực ngon với Thầy Nguyễn Quốc Y- Hiệu trưởng trường Dạy nghề Ẩm thực Netspace.,,hqdefault,youtube ,SwOeThQ__tw,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,78,0,Gà Rán,You're watching,Cách làm Gà Rán cực ngon và rất dễ làm - Thầy Y | Khám Phá Bếp Việt,Khám phá bếp Việt - Cách làm GÀ RÁN cực ngon và rất dễ làm với Thầy Nguyễn Quốc Y- Hiệu trưởng trường Dạy nghề Ẩm thực Netspace.,,hqdefault,youtube ,XAmp-IAAZWg,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,79,0,Cà Ri Gà,You're watching,Cách nấu Cà Ri Gà cực ngon và hấp dẫn với Thầy Y | Khám Phá Bếp Việt,Khám phá bếp Việt - Cách nấu Cà Ri Gà cực ngon và hấp dẫn với Thầy Nguyễn Quốc Y- Hiệu trưởng trường Dạy nghề Ẩm thực Netspace.,,hqdefault,youtube ,WbcJ5CRLIGU,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,80,0,Kho Quẹt,You're watching,Cách làm Kho Quẹt cực ngon ăn kèm với rau thật hấp dẫn - Thầy Y | Khám Phá Bếp Việt,Khám phá bếp Việt - Cách làm Kho Quẹt ngon với Thầy Nguyễn Quốc Y- Hiệu trưởng trường Dạy nghề Ẩm thực Netspace.,,hqdefault,youtube ,iMz48fbjCuo,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,81,0,Chè Chuối,You're watching,Cách nấu Chè Chuối cực ngon với Cô Hiền Minh - Chuyên gia về món ăn truyền thống VN,Cùng vào bếp và nấu món chè thật ngon cho gia đình với công thức và cách nấu vô cùng đơn giản của Cô Hiền Minh - Chuyên gia về các món ăn truyền thống Việt Nam - Giảng viên trường Dạy nghề Ẩm thực Netspace.,,hqdefault,youtube ,rMFiTpehg5E,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,82,0,Tôm Hùm Đút Lò,You're watching,Cách chế biến Tôm Hùm Đút Lò (Lobster thermidor) cực ngon với Chef Vũ Nhất Thông,Khám phá bếp Việt - Cách chế biến Tôm đúc lò cưc ngon được thực hiện bởi Chef Vũ Nhất Thông - Giảng viên Bếp Âu tại trường dạy nghề ẩm thực Netspace.,,hqdefault,youtube ,Ps-z5Ez3huY,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
